180;150;101

150;150;135

120;150;64

90;150;102

60;150;93

30;150;82

180;120;138

150;120;138

120;120;40

90;120;95

60;120;100

30;120;65

180;90;94

150;90;92

120;90;124

90;90;98

60;90;135

30;90;44

180;60;99

150;60;15

120;60;13

90;60;13

60;60;13

30;60;13

180;30;13

150;30;14

120;30;15

90;30;13

60;30;15

30;30;14

0;0;100

30;0;99

60;0;13

90;0;119

120;0;135

150;0;59

0;30;135

30;30;98

60;30;41

90;30;118

120;30;96

150;30;84

0;60;96

30;60;12

60;60;12

90;60;12

120;60;12

150;60;12

0;90;12

30;90;42

60;90;141

90;90;136

120;90;39

150;90;13

0;120;138

30;120;91

60;120;39

90;120;135

120;120;94

150;120;52

0;150;135

30;150;91

60;150;50

90;150;135

120;150;95

150;150;69

180;180;97

150;180;94

120;180;92

90;180;135

60;180;135

30;180;39

180;150;97

150;150;136

120;150;42

90;150;135

60;150;36

30;150;98

180;120;328

150;120;14

120;120;100

90;120;94

60;120;34

30;120;39

180;90;100

150;90;96

120;90;83

90;90;97

60;90;96

30;90;85

180;60;91

150;60;138

120;60;81

90;60;13

60;60;139

30;60;119

180;30;12

150;30;14

120;30;14

90;30;135

60;30;15

30;30;68

0;0;139

30;0;13

60;0;14

90;0;13

120;0;13

150;0;14

0;30;13

30;30;11

60;30;139

90;30;99

120;30;56

150;30;97

0;60;135

30;60;13

60;60;13

90;60;13

120;60;13

150;60;13

0;90;13

30;90;136

60;90;79

90;90;14

120;90;303

150;90;14

0;120;139

30;120;123

60;120;326

90;120;135

120;120;100

150;120;66

0;150;135

30;150;98

60;150;46

90;150;136

120;150;135

150;150;41

180;180;136

150;180;136

120;180;97

90;180;92

60;180;15

30;180;15

180;150;15

150;150;15

120;150;15

90;150;15

60;150;15

30;150;15

180;120;18

150;120;12

120;120;12

90;120;12

60;120;11

30;120;62

180;90;48

150;90;97

120;90;134

90;90;94

60;90;92

30;90;101

180;60;39

150;60;94

120;60;98

90;60;46

60;60;98

30;60;100

180;30;93

150;30;39

120;30;99

90;30;96

60;30;64

30;30;106

0;0;124

30;0;12

60;0;12

90;0;12

120;0;12

150;0;12

0;30;12

30;30;13

60;30;133

90;30;15

120;30;12

0;0;0

30;0;330

0;0;0

0;0;12

30;0;14

60;0;42

90;0;13

120;0;10

150;0;12

0;30;11

30;30;10

60;30;10

90;30;10

120;30;11

150;30;121

0;60;14

30;60;14

60;60;13

90;60;41

120;60;53

150;60;90

